time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.005343582879402,0.5831443031677548,1.0056812733694187e-06,0.0,0.0,0.0,0.5343582879401705,3.7057602756647228,-0.0014182251395356224,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.04,-7.3425462638859935e-09,0.004020016603302782,10.020163422101733,1.0020438061287038,6.283159986740603,0.0,-7.342546263885993e-07,0.40200166033027823,0.9476256342931002,7.346630942037601,-0.003437325203543025,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.06,1.627471096684627e-07,0.01820787012691533,10.041085492929351,0.8538903162892097,6.283101265728135,0.0,1.774322021962347e-05,1.0167836920309765,1.1445814484686911,10.80729538647579,-0.007915157626150714,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.08,1.129571285649799e-06,0.04403264172384469,10.066799693644663,6.133307627079322,6.28295387362278,0.0,7.893919737851015e-05,1.5656934676619594,1.4268386230624222,13.989518321174298,-0.01258657008231387,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.1,4.395436253088335e-06,0.07424422047757755,10.10058035773103,4.13100917067468,6.282749705540123,0.0,0.0002476472993653434,1.4554644077113272,1.9512277855743334,16.81833308511748,-0.022339858654812462,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.12000000000000001,1.2508479157388271e-05,0.09729253054228135,10.133656263601928,1.1706959157850783,6.282309562726951,0.0,0.0005636569910646501,0.8493665987590522,1.3563628015154265,19.26230746738405,-0.025987970474729526,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.14,3.0164730839157253e-05,0.1209915120499369,10.161664078462445,3.660540597195485,6.281795438728945,0.0,0.001201968177112248,1.5205315520065035,1.4444186845363738,21.313940247421808,-0.029345175112190015,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.16,6.429844378613813e-05,0.14780143355214154,10.182282998305823,5.496636471753938,6.281210228524095,0.0,0.0022114031175858397,1.16046059821396,0.61747329980145,22.993116872801053,-0.031185445414809897,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.18,0.00012294544080595804,0.16583748977533527,10.197821680356963,0.5801654278230046,6.280593798677497,0.0,0.0036532965843961533,0.643145024105414,0.936394905312545,24.339855099623648,-0.035000956310621924,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.19999999999999998,0.00021490175238339577,0.18269611950009507,10.220684164611848,1.6349096188175691,6.27992048946783,0.0,0.005542334573347619,1.042717948370564,1.3498535201759796,25.40563846316625,-0.04230984357839189,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.21999999999999997,0.00034957062443239897,0.21083268042604947,10.245260730192623,2.4867668926345257,6.2790777853036985,0.0,0.007924552631552702,1.7709381442248766,1.107803037901628,26.23478803297092,-0.04495283712165702,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.23999999999999996,0.0005380703193271989,0.2507162687836866,10.25967203119022,3.214538051743208,6.278183472438695,0.0,0.010925416857927285,2.217420691538834,0.333327061858086,26.87208764610318,-0.04803305705813884,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.25999999999999995,0.0007931174060017879,0.2945537651134947,10.257089259055176,3.8707186530822515,6.27722303928558,0.0,0.014579291809531617,2.1663289414419733,-0.5916042753623699,27.359404480240848,-0.04870831707962969,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.27999999999999997,0.0011282028313866722,0.33303315192129956,10.23784197845761,4.486443999639885,6.276262453508533,0.0,0.018929250728956824,1.681609739338517,-1.333123784394274,27.729640234734703,-0.04349668306643562,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.3,0.0015572441090181454,0.3595646773149666,10.207572291049827,5.080114678315441,6.27540453719444,0.0,0.023974877034190493,0.9715428000281897,-1.6938449563840319,28.00920373013731,-0.038594163869766065,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.32,0.0020933982053074895,0.3721977067476793,10.174344930105354,5.661943294602898,6.274643366937372,0.0,0.02964053259474393,0.29176014324308597,-1.6288911380632503,28.21726401796134,-0.03396533673380585,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.34,0.002748413762388629,0.3737919844949874,10.145726050579368,6.238292564705041,6.27398913234931,0.0,0.035861023113370034,-0.13233236851227953,-1.2329968145353898,28.37220910334915,-0.026884073200444607,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.36000000000000004,0.0035326558744476775,0.37081807122054594,10.126385638197714,0.5293045224543071,6.273470599084266,0.0,0.04256318809253479,-0.165058958931862,-0.7010444236300515,28.488425133756923,-0.02069566484872697,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.38000000000000006,0.0044548152710348855,0.371202052368441,10.116702749463315,1.1028577187087647,6.273067886815294,0.0,0.049652751566185954,0.20345707372136773,-0.26724444980998,28.575427358778118,-0.015962583822064714,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
0.4000000000000001,0.005521756451153943,0.3817895112745179,10.112690607671652,1.6766240951467744,6.27274978599343,0.0,0.05704136644571976,0.8552888168863211,-0.1339697293561828,28.64262600850335,-0.014445445346520987,0.0,480.21751778533445,479.92563498040414,480.0216089665056,479.8038303740995
